x,y
0,0.011857893
0.004,0.012136487
0.008,0.012410609
0.012,0.01268026
0.016,0.012945438
0.02,0.013206145
0.024,0.013462381
0.028,0.013714144
0.032,0.013961436
0.036,0.014204256
0.04,0.014442604
0.044,0.014676481
0.048,0.014905886
0.052,0.015130819
0.056,0.015351281
0.06,0.01556727
0.064,0.015778788
0.068,0.015985834
0.072,0.016188409
0.076,0.016386512
0.08,0.016580143
0.084,0.016769302
0.088,0.01695399
0.092,0.017134206
0.096,0.01730995
0.1,0.017481222
0.104,0.017648023
0.108,0.017810352
0.112,0.017968209
0.116,0.018121594
0.12,0.018270508
0.124,0.01841495
0.128,0.01855492
0.132,0.018690419
0.136,0.018821446
0.14,0.018948001
0.144,0.019070084
0.148,0.019187696
0.152,0.019300836
0.156,0.019409504
0.16,0.019513701
0.164,0.019613425
0.168,0.019708678
0.172,0.01979946
0.176,0.019885769
0.18,0.019967607
0.184,0.020044973
0.188,0.020117867
0.192,0.02018629
0.196,0.020250241
0.2,0.02030972
0.204,0.020181568
0.208,0.020229367
0.212,0.020420014
0.216,0.020448069
0.22,0.020267111
0.224,0.020238302
0.228,0.020487915
0.232,0.020675843
0.236,0.020640786
0.24,0.020621586
0.244,0.020830328
0.248,0.020961677
0.252,0.020841562
0.256,0.020804571
0.26,0.020958257
0.264,0.021115911
0.268,0.020956804
0.272,0.020691564
0.276,0.020630437
0.28,0.020649281
0.284,0.020410432
0.288,0.02014194
0.292,0.020035449
0.296,0.020069246
0.3,0.019857433
0.304,0.019519572
0.308,0.019378573
0.312,0.019439453
0.316,0.019341824
0.32,0.019017763
0.324,0.018833685
0.328,0.018956634
0.332,0.019059169
0.336,0.018899531
0.34,0.018809604
0.344,0.019026904
0.348,0.019223343
0.352,0.019166605
0.356,0.019108302
0.36,0.019172079
0.364,0.019372703
0.368,0.019349864
0.372,0.019203105
0.376,0.019311765
0.38,0.019551858
0.384,0.019570565
0.388,0.019445452
0.392,0.019576063
0.396,0.019855185
0.4,0.019987703
0.404,0.019905981
0.408,0.019924483
0.412,0.020196474
0.416,0.020421532
0.42,0.02046054
0.424,0.020628197
0.428,0.021014348
0.432,0.021297279
0.436,0.021321228
0.44,0.021431084
0.444,0.021756085
0.448,0.022057441
0.452,0.022174087
0.456,0.022301622
0.46,0.022634348
0.464,0.022997209
0.468,0.023030212
0.472,0.022818158
0.476,0.022967502
0.48,0.023288805
0.484,0.023388579
0.488,0.023327104
0.492,0.02344175
0.496,0.023658277
0.5,0.023554931
0.504,0.023266797
0.508,0.023175763
0.512,0.023221892
0.516,0.023057511
0.52,0.022706435
0.524,0.022494202
0.528,0.022548332
0.532,0.022558076
0.536,0.022353292
0.54,0.022189465
0.544,0.02226456
0.548,0.022334244
0.552,0.022156838
0.556,0.022055592
0.56,0.022207127
0.564,0.022468422
0.568,0.022530505
0.572,0.022495988
0.576,0.022637447
0.58,0.022825904
0.584,0.022757011
0.588,0.022614351
0.592,0.022607412
0.596,0.022777149
0.6,0.022709923
0.604,0.022527069
0.608,0.022462804
0.612,0.022533927
0.616,0.022566657
0.62,0.022439976
0.624,0.022371537
0.628,0.022473991
0.632,0.022475157
0.636,0.022215217
0.64,0.021984059
0.644,0.022026794
0.648,0.022072542
0.652,0.021845692
0.656,0.021575287
0.66,0.021474925
0.664,0.021387464
0.668,0.021033184
0.672,0.020640996
0.676,0.020484618
0.68,0.020437673
0.684,0.020192434
0.688,0.019810559
0.692,0.019547743
0.696,0.019480462
0.7,0.019300938
0.704,0.019052886
0.708,0.018925876
0.712,0.018972465
0.716,0.018947438
0.72,0.01875542
0.724,0.018724087
0.728,0.018914112
0.732,0.018898155
0.736,0.018602291
0.74,0.018398243
0.744,0.018438107
0.748,0.018487955
0.752,0.018310427
0.756,0.018152694
0.76,0.018253992
0.764,0.01836032
0.768,0.018168036
0.772,0.017863979
0.776,0.017839142
0.78,0.017889371
0.784,0.017746386
0.788,0.017518701
0.792,0.017484788
0.796,0.017543624
0.8,0.017425524
0.804,0.01712032
0.808,0.016980594
0.812,0.017118736
0.816,0.017104279
0.82,0.016847536
0.824,0.016721266
0.828,0.016799582
0.832,0.016764377
0.836,0.016545234
0.84,0.016386169
0.844,0.016390597
0.848,0.016386943
0.852,0.016115714
0.856,0.015816685
0.86,0.015752357
0.864,0.015720049
0.868,0.015564097
0.872,0.015488259
0.876,0.015847745
0.88,0.016244205
0.884,0.016353945
0.888,0.016326277
0.892,0.016489704
0.896,0.016738316
0.9,0.016737286
0.904,0.016677948
0.908,0.016843898
0.912,0.017206998
0.916,0.017484928
0.92,0.017587379
0.924,0.017789473
0.928,0.018256075
0.932,0.01865881
0.936,0.018837993
0.94,0.019046795
0.944,0.019521723
0.948,0.019916879
0.952,0.020008839
0.956,0.020078731
0.96,0.020419042
0.964,0.02076269
0.968,0.020841262
0.972,0.020847445
0.976,0.021090318
0.98,0.021370821
0.984,0.02142572
0.988,0.021353123
0.992,0.021456593
0.996,0.021672911
1,0.021707866
1.004,0.021593127
1.008,0.021638786
1.012,0.021924824
1.016,0.022075381
1.02,0.021970214
1.024,0.021960265
1.028,0.022249318
1.032,0.022460135
1.036,0.022477308
1.04,0.0225649
1.044,0.022887304
1.048,0.023129714
1.052,0.023088413
1.056,0.023083685
1.06,0.02332868
1.064,0.023599607
1.068,0.023541359
1.072,0.0234374
1.076,0.023624735
1.08,0.023931815
1.084,0.024018509
1.088,0.024022609
1.092,0.024254573
1.096,0.024644139
1.1,0.02474948
1.104,0.024617973
1.108,0.02466578
1.112,0.02485046
1.116,0.024838383
1.12,0.024625228
1.124,0.024518459
1.128,0.024616053
1.132,0.024670789
1.136,0.024660482
1.14,0.024708053
1.144,0.024852143
1.148,0.024869069
1.152,0.024585876
1.156,0.02433551
1.16,0.024371894
1.164,0.024398191
1.168,0.02422348
1.172,0.023920854
1.176,0.023866042
1.18,0.023918152
1.184,0.023807209
1.188,0.023605866
1.192,0.023644601
1.196,0.02385645
1.2,0.023924219
1.204,0.023798294
1.208,0.023797144
1.212,0.023966873
1.216,0.023958667
1.22,0.023782511
1.224,0.023744829
1.228,0.023900412
1.232,0.023929879
1.236,0.023742689
1.24,0.023626388
1.244,0.023828555
1.248,0.024028514
1.252,0.024020758
1.256,0.024117228
1.26,0.024542962
1.264,0.025003055
1.268,0.025191213
1.272,0.025234047
1.276,0.02547101
1.28,0.025753486
1.284,0.025739967
1.288,0.025606259
1.292,0.0256766
1.296,0.025909848
1.3,0.026061593
1.304,0.026094857
1.308,0.026267882
1.312,0.026588079
1.316,0.026701354
1.32,0.026593535
1.324,0.026656702
1.328,0.026924141
1.332,0.027007486
1.336,0.026843727
1.34,0.026749248
1.344,0.026864336
1.348,0.02688217
1.352,0.026701491
1.356,0.026590446
1.36,0.026773809
1.364,0.026916863
1.368,0.026857107
1.372,0.026661296
1.376,0.026680764
1.38,0.026760816
1.384,0.026655039
1.388,0.026496523
1.392,0.026618661
1.396,0.02682476
1.4,0.026829901
1.404,0.026719869
1.408,0.026793919
1.412,0.027038165
1.416,0.027100077
1.42,0.026953002
1.424,0.026993265
1.428,0.027292639
1.432,0.027469208
1.436,0.027395374
1.44,0.027329537
1.444,0.027440386
1.448,0.027433998
1.452,0.027166987
1.456,0.026957063
1.46,0.027037632
1.464,0.027085231
1.468,0.026874824
1.472,0.026691331
1.476,0.026794244
1.48,0.026919079
1.484,0.026804835
1.488,0.026612107
1.492,0.026619212
1.496,0.026712278
1.5,0.026528371
1.504,0.026211835
1.508,0.026124435
1.512,0.026160125
1.516,0.026100005
1.52,0.025931226
1.524,0.025908028
1.528,0.026072562
1.532,0.026065977
1.536,0.025801159
1.54,0.025590513
1.544,0.025583035
1.548,0.025609855
1.552,0.025467937
1.556,0.025346508
1.56,0.025484466
1.564,0.025600657
1.568,0.025477584
1.572,0.025307934
1.576,0.025537539
1.58,0.02587056
1.584,0.025944454
1.588,0.025899983
1.592,0.026035072
1.596,0.026196456
1.6,0.02610774
1.604,0.025767307
1.608,0.025662802
1.612,0.025848856
1.616,0.025907639
1.62,0.025825085
1.624,0.025882293
1.628,0.026104746
1.632,0.026194676
1.636,0.02616225
1.64,0.026165263
1.644,0.026407221
1.648,0.026550831
1.652,0.026440148
1.656,0.026476149
1.66,0.026771272
1.664,0.026924543
1.668,0.026819515
1.672,0.026813582
1.676,0.027116201
1.68,0.02744768
1.684,0.027474755
1.688,0.027384108
1.692,0.027565247
1.696,0.027928536
1.7,0.028069073
1.704,0.027999599
1.708,0.028146548
1.712,0.028351739
1.716,0.028411717
1.72,0.028347857
1.724,0.028494797
1.728,0.028798998
1.732,0.028965423
1.736,0.028978834
1.74,0.028964937
1.744,0.02914601
1.748,0.029291869
1.752,0.029195627
1.756,0.02910146
1.76,0.02918055
1.764,0.029217922
1.768,0.029025331
1.772,0.028783864
1.776,0.028919796
1.78,0.029102309
1.784,0.029024845
1.788,0.028902221
1.792,0.028991382
1.796,0.029133728
1.8,0.029068313
1.804,0.028852602
1.808,0.028799681
1.812,0.028920886
1.816,0.028876192
1.82,0.028637435
1.824,0.028584089
1.828,0.028720132
1.832,0.028667418
1.836,0.028327498
1.84,0.028170229
1.844,0.028358993
1.848,0.02845212
1.852,0.02829047
1.856,0.028161961
1.86,0.028223967
1.864,0.028219599
1.868,0.028025884
1.872,0.027828202
1.876,0.027858119
1.88,0.027894787
1.884,0.027710725
1.888,0.027470613
1.892,0.027423436
1.896,0.027465517
1.9,0.027324544
1.904,0.027124452
1.908,0.027204096
1.912,0.0274312
1.916,0.027407811
1.92,0.027139494
1.924,0.027004555
1.928,0.02709221
1.932,0.027100844
1.936,0.0269376
1.94,0.026836853
1.944,0.026884445
1.948,0.026852999
1.952,0.026603371
1.956,0.02636442
1.96,0.02641332
1.964,0.02656963
1.968,0.026480845
1.972,0.026318515
1.976,0.026349882
1.98,0.026442016
1.984,0.026308694
1.988,0.026090651
1.992,0.026087218
1.996,0.026202913
2,0.026093241
2.004,0.025870906
2.008,0.025887559
2.012,0.026000782
2.016,0.025898974
2.02,0.025668807
2.024,0.025537918
2.028,0.025561331
2.032,0.025454074
2.036,0.025171419
2.04,0.024928184
2.044,0.024990232
2.048,0.024988809
2.052,0.024769505
2.056,0.024706776
2.06,0.024741103
2.064,0.024724214
2.068,0.024567983
2.072,0.024449187
2.076,0.024535369
2.08,0.024555675
2.084,0.024298046
2.088,0.024032194
2.092,0.024072659
2.096,0.02420871
2.1,0.024083783
2.104,0.02379763
2.108,0.023678754
2.112,0.023761325
2.116,0.023774355
2.12,0.023559798
2.124,0.023477829
2.128,0.023524417
2.132,0.023427146
2.136,0.023119575
2.14,0.022822865
2.144,0.022856131
2.148,0.022857712
2.152,0.022616639
2.156,0.022430575
2.16,0.022565147
2.164,0.022726487
2.168,0.022575091
2.172,0.022446902
2.176,0.022629024
2.18,0.022757194
2.184,0.022565499
2.188,0.022528501
2.192,0.022671916
2.196,0.022860397
2.2,0.02290185
2.204,0.022797392
2.208,0.022950521
2.212,0.023278128
2.216,0.023389247
2.22,0.023310556
2.224,0.023444227
2.228,0.023800243
2.232,0.024011822
2.236,0.024011328
2.24,0.024192328
2.244,0.02456889
2.248,0.024665717
2.252,0.024533619
2.256,0.024452578
2.26,0.024576039
2.264,0.024771927
2.268,0.024784308
2.272,0.024767514
2.276,0.02505072
2.28,0.025459857
2.284,0.025698456
2.288,0.025843463
2.292,0.026137807
2.296,0.026493151
2.3,0.026638379
2.304,0.026667752
2.308,0.026846792
2.312,0.027153315
2.316,0.027273948
2.32,0.027308283
2.324,0.02757211
2.328,0.028001827
2.332,0.028165719
2.336,0.028099282
2.34,0.028153718
2.344,0.028469448
2.348,0.028698982
2.352,0.028681541
2.356,0.028742952
2.36,0.029105387
2.364,0.029406019
2.368,0.029371077
2.372,0.02935127
2.376,0.029585335
2.38,0.029825431
2.384,0.029764817
2.388,0.029610088
2.392,0.029719781
2.396,0.029950481
2.4,0.029913772
2.404,0.029768092
2.408,0.029772828
2.412,0.029936558
2.416,0.02997805
2.42,0.02984626
2.424,0.029859054
2.428,0.030067295
2.432,0.030109478
2.436,0.029917916
2.44,0.029803015
2.444,0.029878383
2.448,0.029839932
2.452,0.029564923
2.456,0.029438754
2.46,0.029538938
2.464,0.029609781
2.468,0.029420239
2.472,0.029199068
2.476,0.029173642
2.48,0.029117546
2.484,0.028870671
2.488,0.028582589
2.492,0.028489856
2.496,0.02842883
2.5,0.028179097
2.504,0.027898391
2.508,0.027908427
2.512,0.028151633
2.516,0.028162906
2.52,0.027940973
2.524,0.0278807
2.528,0.027983362
2.532,0.027962551
2.536,0.027773464
2.54,0.027740757
2.544,0.027968293
2.548,0.028057957
2.552,0.027920352
2.556,0.027886374
2.56,0.028137688
2.564,0.028310506
2.568,0.028205746
2.572,0.028177791
2.576,0.028376791
2.58,0.028519335
2.584,0.028444539
2.588,0.028435199
2.592,0.028486768
2.596,0.028680819
2.6,0.028686981
2.604,0.028396173
2.608,0.028375615
2.612,0.028432541
2.616,0.028359729
2.62,0.028155956
2.624,0.028120502
2.628,0.028250898
2.632,0.028240273
2.636,0.028040054
2.64,0.027962341
2.644,0.028064942
2.648,0.02800682
2.652,0.027785638
2.656,0.027665287
2.66,0.027873771
2.664,0.02812186
2.668,0.028052712
2.672,0.027905853
2.676,0.028013822
2.68,0.028132839
2.684,0.027936067
2.688,0.027656162
2.692,0.027628107
2.696,0.027674821
2.7,0.027491442
2.704,0.027204818
2.708,0.027082297
2.712,0.027015681
2.716,0.02669727
2.72,0.026261113
2.724,0.026053398
2.728,0.026001368
2.732,0.02578068
2.736,0.025406991
2.74,0.02515423
2.744,0.025070142
2.748,0.024834364
2.752,0.024376819
2.756,0.024027547
2.76,0.023905754
2.764,0.023740585
2.768,0.023346816
2.772,0.0230017
2.776,0.022884091
2.78,0.022792097
2.784,0.022550688
2.788,0.022276545
2.792,0.022174688
2.796,0.022065303
2.8,0.021691578
2.804,0.021236294
2.808,0.021053545
2.812,0.021032348
2.816,0.020794716
2.82,0.020371543
2.824,0.020166562
2.828,0.02009417
2.832,0.019880807
2.836,0.019498444
2.84,0.019273088
2.844,0.019251004
2.848,0.019139859
2.852,0.018872228
2.856,0.018707918
2.86,0.018717373
2.864,0.018712275
2.868,0.018554439
2.872,0.018406679
2.876,0.018512264
2.88,0.018636618
2.884,0.018529799
2.888,0.018403013
2.892,0.018565889
2.896,0.018842831
2.9,0.018933139
2.904,0.018846545
2.908,0.01894224
2.912,0.019207302
2.916,0.019254563
2.92,0.019107063
2.924,0.019185362
2.928,0.0194146
2.932,0.019487128
2.936,0.019385111
2.94,0.019464902
2.944,0.019750869
2.948,0.019894566
2.952,0.019842714
2.956,0.019800199
2.96,0.019947229
2.964,0.02005107
2.968,0.019911024
2.972,0.019820986
2.976,0.019994527
2.98,0.020140587
2.984,0.020059903
2.988,0.019976159
2.992,0.020076141
2.996,0.020230846
3,0.020157952
3.004,0.019998088
3.008,0.020163
3.012,0.020476828
3.016,0.020625423
3.02,0.020505868
3.024,0.02055011
3.028,0.020772324
3.032,0.020794417
3.036,0.020557488
3.04,0.020448342
3.044,0.020549824
3.048,0.020537198
3.052,0.020334765
3.056,0.020237562
3.06,0.020296894
3.064,0.020222742
3.068,0.019937976
3.072,0.019758977
3.076,0.019858203
3.08,0.019918901
3.084,0.019673883
3.088,0.019388643
3.092,0.019305769
3.096,0.019410484
3.1,0.019282255
3.104,0.019078249
3.108,0.019055303
3.112,0.01911624
3.116,0.019037429
3.12,0.018840764
3.124,0.018797151
3.128,0.018809336
3.132,0.018644243
3.136,0.018403438
3.14,0.018376547
3.144,0.018562164
3.148,0.018652459
3.152,0.018514893
3.156,0.018490844
3.16,0.018737688
3.164,0.018934983
3.168,0.018898885
3.172,0.018883869
3.176,0.019047284
3.18,0.019212616
3.184,0.01913699
3.188,0.018935422
3.192,0.018942471
3.196,0.019046895
3.2,0.018945983
3.204,0.01878416
3.208,0.018911435
3.212,0.019159148
3.216,0.019187379
3.22,0.019055001
3.224,0.019132722
3.228,0.019352856
3.232,0.019389418
3.236,0.019242278
3.24,0.019261313
3.244,0.019514001
3.248,0.019662917
3.252,0.019702755
3.256,0.019770529
3.26,0.020103888
3.264,0.020340002
3.268,0.020263949
3.272,0.0202009
3.276,0.020437828
3.28,0.020667966
3.284,0.020654888
3.288,0.020613228
3.292,0.020797117
3.296,0.021035085
3.3,0.021136394
3.304,0.021200714
